,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000023089,511,96,271,99,78,2,248,143,55,0,0,1,0,125,0,62,0,0,103,190
ENSMUSG00000023092,0,0,0,0,652,5,0,0,0,0,0,180,141,16,0,130,1079,0,11,803
ENSMUSG00000023094,225,74,333,457,231,4,676,162,0,240,0,512,20,0,2,1121,0,0,1,585
ENSMUSG00000023104,1370,2143,1011,1063,167,39,174,286,669,389,241,34,1,1104,349,1155,7,1918,761,1503
ENSMUSG00000023106,1779,1089,1437,348,141,402,0,177,716,28,1,0,0,0,263,137,0,230,0,0
ENSMUSG00000023110,1471,908,418,797,239,188,163,466,111,216,1470,1,12,0,23,2,246,8,0,356
ENSMUSG00000023118,153,201,165,149,1,23,5,59,222,121,77,0,0,1904,19,163,0,7,0,32
ENSMUSG00000023143,161,67,16,4,16,0,0,23,136,0,0,0,0,0,463,0,0,0,0,43
ENSMUSG00000023147,15,19,112,1,0,22,8,138,0,168,2,0,0,0,3,4,0,0,2,345
ENSMUSG00000023150,1506,1430,1756,1083,1382,3935,585,559,533,100,2582,519,455,88,311,1546,952,1158,151,3051
ENSMUSG00000023153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023156,583,880,395,147,1661,7,0,753,410,0,3,399,0,661,11,175,0,611,0,298
ENSMUSG00000023169,805,247,438,1,801,41,989,171,330,0,3011,0,0,199,3,444,1577,1,233,1405
ENSMUSG00000023170,1037,726,923,401,0,84,0,309,448,327,0,0,0,0,106,357,37,0,0,29
ENSMUSG00000023175,5073,2732,1253,4466,1163,302,1605,1669,1102,512,713,386,10,1030,451,349,4,130,397,484
ENSMUSG00000023186,0,0,70,0,86,16,0,2,0,0,1300,0,747,1162,6,238,738,0,0,189
ENSMUSG00000023191,0,0,0,0,0,223,284,0,0,0,1980,1,0,507,0,29,0,0,0,63
ENSMUSG00000023206,7,68,0,213,0,1,0,1,63,0,0,0,0,0,0,180,0,0,0,930
ENSMUSG00000023216,395,521,258,0,0,0,0,889,183,123,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000023224,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023235,0,0,0,0,0,0,0,2,0,0,0,0,0,0,158,0,0,0,0,0
ENSMUSG00000023236,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023243,0,16,0,2,0,0,0,8,0,0,0,0,21,0,31,0,110,0,0,166
ENSMUSG00000023249,0,30,0,0,0,347,0,0,0,0,949,0,0,0,0,41,0,0,0,344
ENSMUSG00000023259,28,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,49
ENSMUSG00000023262,15,16,1,0,710,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023266,0,0,0,66,0,2,0,0,0,0,0,40,0,0,0,106,0,0,0,0
ENSMUSG00000023272,38,21,190,28,0,0,0,52,0,58,276,0,17,17,19,13,0,0,0,3
ENSMUSG00000023277,0,483,0,0,303,2,0,0,0,0,0,0,0,0,1,84,0,467,0,23
ENSMUSG00000023284,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023286,506,887,803,620,568,93,100,188,92,2,269,19,154,57,23,63,0,0,0,387
ENSMUSG00000023307,715,720,1181,751,122,1056,864,418,363,143,12,0,0,240,0,45,986,3,271,370
ENSMUSG00000023328,173,0,252,71,0,0,0,0,0,64,0,0,0,0,276,0,0,0,0,0
ENSMUSG00000023330,381,107,38,2,0,4,0,60,0,57,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000023341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0
ENSMUSG00000023345,522,223,4,27,0,1,0,163,181,172,0,0,0,0,0,80,0,0,0,0
ENSMUSG00000023348,482,61,3,8,0,35,0,177,16,0,0,26,0,2219,50,699,2,0,5,0
ENSMUSG00000023353,261,6,70,31,0,14,0,0,0,143,0,6,0,0,60,8,0,0,0,0
ENSMUSG00000023367,0,0,0,0,23,616,383,0,5,0,0,1,156,92,322,529,174,526,109,87
ENSMUSG00000023393,0,1,0,0,0,3,1,2,0,0,166,0,80,1,2,0,0,0,0,47
ENSMUSG00000023411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ENSMUSG00000023439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000023443,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000023452,117,110,56,19,128,51,113,2,1,69,152,9,200,54,5,100,59,64,1,57
ENSMUSG00000023456,2026,2482,2264,1418,626,764,0,977,917,398,238,735,187,1003,78,170,502,1229,28,699
ENSMUSG00000023460,203,52,20,3,3,164,0,0,58,11,1664,0,0,4,3,28,0,0,0,30
ENSMUSG00000023484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000023495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
ENSMUSG00000023505,1089,204,272,40,0,4,0,224,603,319,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023571,12082,8691,4241,10702,123,1,157,4203,1537,2283,4,0,35,1134,18,256,0,387,1,28
ENSMUSG00000023572,318,286,393,967,0,1249,1797,211,0,130,72,92,19,285,0,172,2540,659,0,86
ENSMUSG00000023707,1,23,49,30,0,13,0,137,31,0,0,37,0,130,0,1,0,1,0,0
ENSMUSG00000023723,1469,1752,847,479,0,12,18,487,618,1,0,724,153,1227,220,606,0,1178,214,453
